urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
64.0,6.1,OLED,FHD+,60.0,3227.0,1,20.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,5.0,1550800.0,4.0,128.0,7.65,174.0,Cam,0.0,1,1,1,1,5.0,1.0,iOS,1.0
60.0,6.67,AMOLED,FHD+,120.0,5500.0,1,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,423.9,8.0,256.0,8.24,180.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
63.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,655.2,8.0,256.0,7.4,195.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
76.0,6.67,AMOLED,FHD+,120.0,6000.0,1,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,20.0,8.0,4.0,1700100.0,12.0,512.0,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),0.0,1,1,1,1,6.0,1.0,Android,1.0
83.0,6.7,AMOLED,FHD+,120.0,6000.0,1,100.0,1,200.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1902700.0,12.0,512.0,8.1,205.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
87.0,6.9,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,256.0,8.2,218.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
82.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2193700.0,12.0,256.0,7.2,162.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
94.0,6.31,AMOLED,FHD+,120.0,6040.0,1,90.0,1,200.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2554000.0,16.0,512.0,7.95,190.0,Cam,0.0,1,1,1,1,6.0,1.0,Android,1.0
72.0,6.1,OLED,FHD+,60.0,4005.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1405700.0,8.0,128.0,7.8,167.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
79.0,6.7,Dynamic AMOLED,QHD+,120.0,4900.0,1,45.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1827100.0,12.0,256.0,7.7,196.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
75.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1851600.0,8.0,256.0,7.6,167.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
48.0,6.9,IPS LCD,HD+,120.0,6000.0,1,33.0,0,50.0,0.0,1080p (Full HD),30.0,8.0,8.0,12.0,274.6,8.0,256.0,7.99,205.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
88.0,6.9,OLED,FHD+,120.0,4685.0,1,30.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1949200.0,8.0,256.0,8.25,227.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
59.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,25.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,13.0,8.0,5.0,599.2,8.0,256.0,7.7,200.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
83.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,2019200.0,12.0,256.0,8.6,232.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
66.0,6.79,AMOLED,FHD+,120.0,7500.0,1,66.0,0,108.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,754.2,8.0,256.0,7.76,189.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.2,1.0,Android,1.0
42.0,6.7,PLS,HD+,90.0,5000.0,1,25.0,0,50.0,0.0,1080p (Full HD),30.0,8.0,8.0,6.0,394.4,4.0,128.0,7.6,184.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,0.0,Android,1.0
88.0,6.9,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,512.0,8.2,218.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
73.0,6.67,AMOLED,FHD+,120.0,6000.0,1,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,20.0,8.0,4.0,1700100.0,8.0,256.0,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),0.0,1,1,1,1,6.0,1.0,Android,1.0
55.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,1.0,1080p (Full HD),30.0,13.0,8.0,5.0,463.1,8.0,256.0,7.5,192.0,Unknown,0.0,1,1,1,1,5.3,1.0,Android,1.0
71.0,6.1,OLED,FHD+,60.0,3349.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,4.0,1753700.0,6.0,256.0,7.8,171.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
84.0,6.3,OLED,FHD+,120.0,3582.0,1,25.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1853700.0,8.0,128.0,8.25,199.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
86.0,6.7,Dynamic AMOLED,QHD+,120.0,4900.0,1,45.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2258900.0,12.0,256.0,7.3,190.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
57.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,25.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,13.0,8.0,5.0,583.3,6.0,128.0,7.7,200.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
79.0,6.83,AMOLED,FHD+,120.0,5500.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1640700.0,12.0,256.0,7.5,194.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,6.0,1.0,Android,1.0
83.0,6.7,OLED,FHD+,120.0,4441.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1740400.0,8.0,256.0,8.25,221.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
96.0,6.78,AMOLED,FHD+,120.0,6510.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,50.0,8.0,3.0,2982900.0,16.0,512.0,7.99,226.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
100.0,6.78,AMOLED,FHD+,165.0,7300.0,1,120.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2790200.0,16.0,512.0,8.2,215.0,Unknown,0.0,1,1,1,1,6.0,1.0,Android,1.0
92.0,6.8,OLED,FHD+,120.0,5850.0,1,100.0,1,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2727900.0,12.0,512.0,8.8,223.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
91.0,6.9,OLED,FHD+,120.0,4832.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2697900.0,12.0,512.0,8.75,231.0,Cam,0.0,1,1,1,1,6.0,1.0,iOS,1.0
81.0,6.5,OLED,FHD+,120.0,3149.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2123800.0,12.0,256.0,5.64,165.0,Cam,0.0,1,1,1,1,6.0,1.0,iOS,1.0
81.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2193700.0,12.0,128.0,7.2,162.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
53.0,6.9,IPS LCD,FHD+,144.0,7000.0,1,33.0,0,50.0,0.0,1080p (Full HD),30.0,8.0,8.0,6.0,372.1,8.0,256.0,8.4,214.0,Unknown,0.0,1,1,1,1,5.0,1.0,Android,1.0
80.0,6.83,AMOLED,FHD+,120.0,5500.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1640700.0,12.0,512.0,7.5,194.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,6.0,1.0,Android,1.0
56.0,6.67,AMOLED,FHD+,120.0,5500.0,1,33.0,0,108.0,0.0,1080p (Full HD),60.0,20.0,8.0,6.0,443.5,8.0,256.0,8.16,196.5,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
61.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,655.2,8.0,128.0,7.4,195.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
79.0,6.1,OLED,FHD+,120.0,3274.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1791300.0,8.0,128.0,8.25,187.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
63.0,6.67,AMOLED,FHD+,120.0,5100.0,1,67.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,581.5,8.0,256.0,7.98,187.0,Cam,0.0,1,1,1,1,5.2,1.0,Android,1.0
94.0,6.73,AMOLED,QHD+,120.0,5410.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2661600.0,16.0,512.0,9.48,226.0,Unknown,0.0,1,1,1,1,6.0,1.0,Android,1.0
82.0,6.7,Dynamic AMOLED,QHD+,120.0,3900.0,1,25.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2161200.0,12.0,256.0,5.8,163.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
73.0,6.7,Dynamic AMOLED,FHD+,120.0,4700.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,10.0,10.0,4.0,1832742.0,8.0,256.0,8.0,213.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
90.0,6.36,AMOLED,FHD+,120.0,5240.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2692300.0,12.0,512.0,8.08,191.0,Unknown,0.0,1,1,1,1,6.0,1.0,Android,1.0
63.0,6.78,AMOLED,FHD+,144.0,5200.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,733.5,8.0,256.0,7.29,178.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
53.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,1.0,1080p (Full HD),30.0,13.0,8.0,5.0,445.3,6.0,128.0,7.5,192.0,Unknown,0.0,1,1,1,1,5.3,1.0,Android,1.0
65.0,6.4,Dynamic AMOLED,FHD+,120.0,4500.0,1,25.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,5.0,955.8,8.0,128.0,7.9,177.0,Polimer (Cam Görünümlü),0.0,1,1,1,1,5.0,1.0,Android,1.0
67.0,6.55,AMOLED,FHD+,120.0,6000.0,1,80.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,838.6,8.0,256.0,7.3,184.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
57.0,6.78,AMOLED,FHD+,144.0,5160.0,1,45.0,0,50.0,0.0,1440p (Quad HD) 2K,30.0,13.0,8.0,6.0,449.9,8.0,256.0,6.09,156.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
77.0,6.7,OLED,FHD+,60.0,4674.0,1,30.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1572700.0,8.0,128.0,7.8,199.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
69.0,6.55,AMOLED,FHD+,120.0,6000.0,1,80.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,848.1,12.0,256.0,7.3,184.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
76.0,6.67,AMOLED,FHD+,144.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1359000.0,12.0,512.0,7.8,195.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.4,1.0,Android,1.0
78.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,1542300.0,8.0,256.0,8.9,233.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
63.0,6.67,AMOLED,FHD+,120.0,5500.0,1,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,452.7,12.0,512.0,8.24,180.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
48.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,0.0,1080p (Full HD),30.0,13.0,8.0,6.0,387.4,4.0,128.0,7.9,200.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
76.0,6.59,AMOLED,FHD+,120.0,6000.0,1,80.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1384000.0,12.0,256.0,7.42,187.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
64.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,910.5,8.0,128.0,7.4,198.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
93.0,6.9,AMOLED,FHD+,120.0,6500.0,1,100.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2720000.0,12.0,256.0,8.05,220.0,Unknown,0.0,1,1,1,1,6.0,1.0,Android,1.0
73.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1588900.0,8.0,128.0,7.6,167.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
89.0,6.85,AMOLED,FHD+,144.0,7500.0,1,80.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2974500.0,12.0,256.0,8.9,230.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
66.0,6.1,OLED,FHD+,60.0,3279.0,1,20.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,5.0,1381900.0,6.0,128.0,7.8,172.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
65.0,6.4,Dynamic AMOLED,FHD+,120.0,4500.0,1,25.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,5.0,941.4,8.0,128.0,7.9,177.0,Polimer (Cam Görünümlü),0.0,1,1,1,1,5.0,1.0,Android,1.0
81.0,6.31,AMOLED,FHD+,120.0,6500.0,1,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1939800.0,12.0,256.0,7.99,186.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
69.0,6.67,AMOLED,FHD+,120.0,5000.0,1,120.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,742.5,12.0,512.0,8.9,204.5,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
60.0,6.57,AMOLED,FHD+,120.0,7000.0,1,80.0,0,50.0,0.0,1080p (Full HD),60.0,16.0,8.0,6.0,428.0,8.0,256.0,8.0,188.0,Unknown,0.0,1,1,1,1,5.4,1.0,Android,1.0
60.0,6.67,AMOLED,FHD+,120.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,6.0,599.6,8.0,256.0,7.87,190.0,Kauçuk/Plastik (Deri Görünümlü),0.0,1,1,1,1,5.2,1.0,Android,1.0
96.0,6.9,AMOLED,FHD+,120.0,6500.0,1,100.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2964400.0,16.0,512.0,8.05,220.0,Unknown,0.0,1,1,1,1,6.0,1.0,Android,1.0
95.0,6.85,AMOLED,FHD+,144.0,7200.0,1,80.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2941800.0,16.0,512.0,8.6,227.0,Cam,0.0,1,1,1,1,6.0,1.0,Android,1.0
90.0,6.3,OLED,FHD+,120.0,3988.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2430600.0,12.0,512.0,8.75,204.0,Cam,0.0,1,1,1,1,6.0,1.0,iOS,1.0
50.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,1.0,1080p (Full HD),30.0,13.0,8.0,6.0,428.1,4.0,128.0,7.5,190.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
83.0,6.67,AMOLED,FHD+,144.0,5000.0,1,120.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,4.0,2017000.0,12.0,512.0,8.39,209.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
69.0,6.67,AMOLED,FHD+,120.0,5110.0,1,120.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,20.0,8.0,4.0,750.3,12.0,512.0,8.75,210.0,Cam | Kauçuk/Plastik (Deri Görünümlü),0.0,1,1,1,1,5.4,1.0,Android,1.0
84.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,2043500.0,12.0,512.0,8.6,232.0,Cam,0.0,1,1,1,1,5.3,1.0,Android,1.0
83.0,6.36,AMOLED,FHD+,120.0,4610.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,24.0,32.0,8.0,4.0,1996900.0,12.0,256.0,8.2,193.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
43.0,6.88,IPS LCD,HD+,120.0,5160.0,1,33.0,0,50.0,0.0,1080p (Full HD),30.0,13.0,8.0,12.0,270.1,8.0,256.0,8.22,211.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),0.0,1,1,1,1,5.4,0.0,Android,1.0
60.0,6.67,AMOLED,FHD+,120.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,6.0,585.1,8.0,256.0,7.9,187.0,Cam,0.0,1,1,1,1,5.2,1.0,Android,1.0
54.0,6.78,AMOLED,FHD+,120.0,5000.0,1,33.0,0,50.0,1.0,1440p (Quad HD) 2K,30.0,13.0,8.0,6.0,412.4,8.0,256.0,7.62,180.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
74.0,6.1,OLED,FHD+,60.0,4005.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1405700.0,8.0,256.0,7.8,167.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
86.0,6.3,OLED,FHD+,120.0,3582.0,1,25.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1853700.0,8.0,256.0,8.25,199.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
90.0,6.83,AMOLED,FHD+,144.0,5500.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,1.0,7.96,210.0,Fiberglass,0.0,1,1,1,1,6.0,1.0,Android,1.0
59.0,6.67,AMOLED,FHD+,120.0,5000.0,1,67.0,0,200.0,1.0,1080p (Full HD),60.0,16.0,8.0,6.0,430.2,8.0,256.0,7.98,188.0,Cam,0.0,1,1,1,1,5.2,1.0,Android,1.0
75.0,6.1,OLED,FHD+,120.0,3200.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,4.0,1432800.0,6.0,128.0,7.85,206.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
90.0,6.9,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,1.0,8.2,218.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
77.0,6.7,OLED,FHD+,120.0,4323.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,4.0,1761400.0,6.0,128.0,7.85,240.0,Cam,0.0,1,1,1,1,5.3,1.0,iOS,1.0
88.0,6.67,AMOLED,QHD+,120.0,5300.0,1,120.0,1,50.0,1.0,4320p (Ultra HD) 8K,24.0,32.0,8.0,3.0,2634300.0,16.0,512.0,8.39,212.0,Cam,0.0,1,1,1,1,6.0,1.0,Android,1.0
92.0,6.85,AMOLED,FHD+,144.0,7500.0,1,80.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,3229800.0,16.0,512.0,8.9,230.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
68.0,6.1,Dynamic AMOLED,FHD+,120.0,3700.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,24.0,10.0,8.0,4.0,1206700.0,8.0,128.0,7.6,168.0,Cam,0.0,1,1,1,1,5.2,1.0,Android,1.0
11.0,4.0,Super AMOLED,SD,60.0,1500.0,0,33.0,0,5.0,0.0,720p (HD),30.0,0.3,2.0,45.0,848.1,1.0,8.0,9.9,120.0,Unknown,0.0,0,0,1,1,4.0,0.0,Android,0.0
81.0,6.5,Dynamic AMOLED,FHD+,120.0,4400.0,1,25.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,10.0,8.0,3.0,1995100.0,12.0,256.0,8.9,215.0,Cam,0.0,1,1,1,1,5.4,1.0,Android,1.0
54.0,6.67,AMOLED,FHD+,120.0,5500.0,1,33.0,0,108.0,0.0,1080p (Full HD),60.0,20.0,8.0,6.0,443.5,8.0,128.0,8.16,196.5,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.3,1.0,Android,1.0
75.0,6.67,AMOLED,FHD+,144.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1359000.0,12.0,256.0,7.8,195.0,Plastik (Cam Görünümlü),0.0,1,1,1,1,5.4,1.0,Android,1.0
