urun_id,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
11,89.0,6.3,OLED,FHD+,120.0,3988.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2430600.0,12.0,256.0,8.75,204.0,Cam,,1,1,1,1,6.0,1.0,iOS,1.0
12,60.0,6.67,AMOLED,FHD+,120.0,5500.0,1,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,423.9,8.0,256.0,8.24,180.0,Plastik (Cam Görünümlü),,1,1,1,1,5.3,1.0,Android,1.0
13,100.0,6.78,AMOLED,FHD+,165.0,7300.0,1,120.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2790200.0,16.0,512.0,8.2,215.0,,,1,1,1,1,6.0,1.0,Android,1.0
14,94.0,6.31,AMOLED,FHD+,120.0,6040.0,1,90.0,1,200.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2554000.0,16.0,512.0,7.95,190.0,Cam,,1,1,1,1,6.0,1.0,Android,1.0
15,87.0,6.83,AMOLED,FHD+,144.0,5500.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,256.0,7.96,210.0,Fiberglass,,1,1,1,1,6.0,1.0,Android,1.0
16,88.0,6.9,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,512.0,8.2,218.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
17,72.0,6.1,OLED,FHD+,60.0,4005.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1405700.0,8.0,128.0,7.8,167.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
18,83.0,6.7,AMOLED,FHD+,120.0,6000.0,1,100.0,1,200.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1902700.0,12.0,512.0,8.1,205.0,,,1,1,1,1,5.4,1.0,Android,1.0
19,55.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,1.0,1080p (Full HD),30.0,13.0,8.0,5.0,463.1,8.0,256.0,7.5,192.0,,,1,1,1,1,5.3,1.0,Android,1.0
20,87.0,6.9,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2551600.0,12.0,256.0,8.2,218.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
21,62.0,6.77,AMOLED,FHD+,120.0,6500.0,1,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,,8.0,256.0,7.96,195.0,,,1,1,1,1,5.3,1.0,Android,1.0
22,53.0,6.9,IPS LCD,FHD+,144.0,7000.0,1,33.0,0,50.0,0.0,1080p (Full HD),30.0,8.0,8.0,6.0,372.1,8.0,256.0,8.4,214.0,,,1,1,1,1,5.0,1.0,Android,1.0
23,63.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,655.2,8.0,256.0,7.4,195.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
24,82.0,6.7,Dynamic AMOLED,QHD+,120.0,3900.0,1,25.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2161200.0,12.0,256.0,5.8,163.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
25,73.0,6.67,AMOLED,FHD+,120.0,6000.0,1,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,20.0,8.0,4.0,1700100.0,8.0,256.0,8.29,195.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),,1,1,1,1,6.0,1.0,Android,1.0
26,86.0,6.7,Dynamic AMOLED,QHD+,120.0,4900.0,1,45.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2258900.0,12.0,256.0,7.3,190.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
27,82.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2193700.0,12.0,256.0,7.2,162.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
28,64.0,6.1,OLED,FHD+,60.0,3227.0,1,20.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,5.0,1550800.0,4.0,128.0,7.65,174.0,Cam,,1,1,1,1,5.0,1.0,iOS,1.0
29,75.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1851600.0,8.0,256.0,7.6,167.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
30,67.0,6.83,AMOLED,FHD+,120.0,6580.0,1,45.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,20.0,8.0,4.0,652.9,8.0,256.0,7.96,210.0,,,1,1,1,1,5.4,1.0,Android,1.0
31,88.0,6.9,OLED,FHD+,120.0,4685.0,1,30.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1949200.0,8.0,256.0,8.25,227.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
32,79.0,6.7,Dynamic AMOLED,QHD+,120.0,4900.0,1,45.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1827100.0,12.0,256.0,7.7,196.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
33,79.0,6.83,AMOLED,FHD+,120.0,5500.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1640700.0,12.0,256.0,7.5,194.0,Plastik (Cam Görünümlü),,1,1,1,1,6.0,1.0,Android,1.0
34,48.0,6.9,IPS LCD,HD+,120.0,6000.0,1,33.0,0,50.0,0.0,1080p (Full HD),30.0,8.0,8.0,12.0,274.6,8.0,256.0,7.99,205.0,,,1,1,1,1,5.4,1.0,Android,1.0
35,83.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,2019200.0,12.0,256.0,8.6,232.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
36,42.0,6.7,PLS,HD+,90.0,5000.0,1,25.0,0,50.0,0.0,1080p (Full HD),30.0,8.0,8.0,6.0,394.4,4.0,128.0,7.6,184.0,Plastik (Cam Görünümlü),,1,1,1,1,5.3,0.0,Android,1.0
37,59.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,25.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,13.0,8.0,5.0,599.2,8.0,256.0,7.7,200.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
39,71.0,6.1,OLED,FHD+,60.0,3349.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,4.0,1753700.0,6.0,256.0,7.8,171.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
40,57.0,6.78,AMOLED,FHD+,144.0,5160.0,1,45.0,0,50.0,0.0,1440p (Quad HD) 2K,30.0,13.0,8.0,6.0,449.9,8.0,256.0,6.09,156.0,,,1,1,1,1,5.4,1.0,Android,1.0
41,84.0,6.3,OLED,FHD+,120.0,3582.0,1,25.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1853700.0,8.0,128.0,8.25,199.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
42,56.0,6.67,AMOLED,FHD+,120.0,5500.0,1,33.0,0,108.0,0.0,1080p (Full HD),60.0,20.0,8.0,6.0,443.5,8.0,256.0,8.16,196.5,Plastik (Cam Görünümlü),,1,1,1,1,5.3,1.0,Android,1.0
43,66.0,6.79,AMOLED,FHD+,120.0,7500.0,1,66.0,0,108.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,754.2,8.0,256.0,7.76,189.0,Plastik (Cam Görünümlü),,1,1,1,1,5.2,1.0,Android,1.0
44,81.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,3.0,2193700.0,12.0,128.0,7.2,162.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
45,92.0,6.8,OLED,FHD+,120.0,5850.0,1,100.0,1,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,3.0,2727900.0,12.0,512.0,8.8,223.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
46,73.0,6.7,Dynamic AMOLED,FHD+,120.0,4700.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,10.0,10.0,4.0,1832742.0,8.0,256.0,8.0,213.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
48,57.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,25.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,13.0,8.0,5.0,583.3,6.0,128.0,7.7,200.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
49,93.0,6.9,AMOLED,FHD+,120.0,6500.0,1,100.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2720000.0,12.0,256.0,8.05,220.0,,,1,1,1,1,6.0,1.0,Android,1.0
50,83.0,6.7,OLED,FHD+,120.0,4441.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1740400.0,8.0,256.0,8.25,221.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
51,91.0,6.9,OLED,FHD+,120.0,4832.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2697900.0,12.0,512.0,8.75,231.0,Cam,,1,1,1,1,6.0,1.0,iOS,1.0
52,61.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,655.2,8.0,128.0,7.4,195.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
53,89.0,6.85,AMOLED,FHD+,144.0,7500.0,1,80.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2974500.0,12.0,256.0,8.9,230.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
54,60.0,6.67,AMOLED,FHD+,120.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,6.0,599.6,8.0,256.0,7.87,190.0,Kauçuk/Plastik (Deri Görünümlü),,1,1,1,1,5.2,1.0,Android,1.0
55,79.0,6.1,OLED,FHD+,120.0,3274.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1791300.0,8.0,128.0,8.25,187.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
56,69.0,6.55,AMOLED,FHD+,120.0,6000.0,1,80.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,848.1,12.0,256.0,7.3,184.0,,,1,1,1,1,5.4,1.0,Android,1.0
57,63.0,6.67,AMOLED,FHD+,120.0,5500.0,1,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,452.7,12.0,512.0,8.24,180.0,Plastik (Cam Görünümlü),,1,1,1,1,5.3,1.0,Android,1.0
58,95.0,6.85,AMOLED,FHD+,144.0,7200.0,1,80.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2941800.0,16.0,512.0,8.6,227.0,Cam,,1,1,1,1,6.0,1.0,Android,1.0
59,53.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,1.0,1080p (Full HD),30.0,13.0,8.0,5.0,445.3,6.0,128.0,7.5,192.0,,,1,1,1,1,5.3,1.0,Android,1.0
60,73.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1588900.0,8.0,128.0,7.6,167.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
61,57.0,6.77,AMOLED,FHD+,120.0,6000.0,1,33.0,0,108.0,0.0,1080p (Full HD),60.0,20.0,8.0,6.0,421.3,8.0,256.0,7.94,183.7,,,1,1,1,1,5.3,1.0,Android,1.0
62,65.0,6.4,Dynamic AMOLED,FHD+,120.0,4500.0,1,25.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,5.0,955.8,8.0,128.0,7.9,177.0,Polimer (Cam Görünümlü),,1,1,1,1,5.0,1.0,Android,1.0
63,68.0,6.83,AMOLED,FHD+,120.0,6500.0,1,100.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,32.0,8.0,4.0,,8.0,256.0,8.47,207.1,Fiberglass | Kauçuk/Plastik (Deri Görünümlü),,1,1,1,1,5.4,1.0,Android,1.0
65,77.0,6.59,AMOLED,FHD+,120.0,6500.0,1,80.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1086700.0,12.0,256.0,7.89,197.0,,,1,1,1,1,5.4,1.0,Android,1.0
66,83.0,6.36,AMOLED,FHD+,120.0,4610.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,24.0,32.0,8.0,4.0,1996900.0,12.0,256.0,8.2,193.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
67,80.0,6.83,AMOLED,FHD+,120.0,5500.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1640700.0,12.0,512.0,7.5,194.0,Plastik (Cam Görünümlü),,1,1,1,1,6.0,1.0,Android,1.0
68,81.0,6.5,OLED,FHD+,120.0,3149.0,1,20.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2123800.0,12.0,256.0,5.64,165.0,Cam,,1,1,1,1,6.0,1.0,iOS,1.0
69,69.0,6.67,AMOLED,FHD+,120.0,5000.0,1,120.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,742.5,12.0,512.0,8.9,204.5,Cam,,1,1,1,1,5.3,1.0,Android,1.0
70,81.0,6.31,AMOLED,FHD+,120.0,6500.0,1,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1939800.0,12.0,256.0,7.99,186.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
71,64.0,6.77,AMOLED,FHD+,120.0,6500.0,1,45.0,0,200.0,1.0,1080p (Full HD),60.0,32.0,8.0,6.0,,12.0,512.0,7.96,195.0,,,1,1,1,1,5.3,1.0,Android,1.0
72,96.0,6.78,AMOLED,FHD+,120.0,6510.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,50.0,8.0,3.0,2982900.0,16.0,512.0,7.99,226.0,Cam,,1,1,1,1,5.4,1.0,Android,1.0
73,76.0,6.67,AMOLED,FHD+,144.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1359000.0,12.0,512.0,7.8,195.0,Plastik (Cam Görünümlü),,1,1,1,1,5.4,1.0,Android,1.0
74,85.0,6.59,AMOLED,FHD+,120.0,6210.0,1,100.0,0,50.0,1.0,4320p (Ultra HD) 8K,30.0,20.0,8.0,3.0,,12.0,512.0,8.0,199.0,,,1,1,1,1,5.4,1.0,Android,1.0
75,90.0,6.36,AMOLED,FHD+,120.0,5240.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2692300.0,12.0,512.0,8.08,191.0,,,1,1,1,1,6.0,1.0,Android,1.0
76,64.0,6.7,Super AMOLED,FHD+,120.0,5000.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,910.5,8.0,128.0,7.4,198.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
78,72.0,6.7,Dynamic AMOLED,FHD+,120.0,4700.0,1,25.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,10.0,10.0,4.0,1788500.0,8.0,128.0,8.0,213.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
79,94.0,6.73,AMOLED,QHD+,120.0,5410.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2661600.0,16.0,512.0,9.48,226.0,,,1,1,1,1,6.0,1.0,Android,1.0
80,65.0,6.4,Dynamic AMOLED,FHD+,120.0,4500.0,1,25.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,5.0,941.4,8.0,128.0,7.9,177.0,Polimer (Cam Görünümlü),,1,1,1,1,5.0,1.0,Android,1.0
81,76.0,6.59,AMOLED,FHD+,120.0,6000.0,1,80.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1384000.0,12.0,256.0,7.42,187.0,,,1,1,1,1,5.4,1.0,Android,1.0
82,63.0,6.78,AMOLED,FHD+,144.0,5200.0,1,45.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,733.5,8.0,256.0,7.29,178.0,,,1,1,1,1,5.4,1.0,Android,1.0
83,78.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,1,45.0,1,200.0,1.0,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,1542300.0,8.0,256.0,8.9,233.0,Cam,,1,1,1,1,5.3,1.0,Android,1.0
84,63.0,6.67,AMOLED,FHD+,120.0,5100.0,1,67.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,581.5,8.0,256.0,7.98,187.0,Cam,,1,1,1,1,5.2,1.0,Android,1.0
85,60.0,6.57,AMOLED,FHD+,120.0,7000.0,1,80.0,0,50.0,0.0,1080p (Full HD),60.0,16.0,8.0,6.0,428.0,8.0,256.0,8.0,188.0,,,1,1,1,1,5.4,1.0,Android,1.0
86,86.0,6.3,OLED,FHD+,120.0,3582.0,1,25.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1853700.0,8.0,256.0,8.25,199.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
87,89.0,6.36,AMOLED,FHD+,120.0,5240.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2692300.0,12.0,256.0,8.08,191.0,,,1,1,1,1,6.0,1.0,Android,1.0
88,60.0,6.67,AMOLED,FHD+,120.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,6.0,585.1,8.0,256.0,7.9,187.0,Cam,,1,1,1,1,5.2,1.0,Android,1.0
89,67.0,6.55,AMOLED,FHD+,120.0,6000.0,1,80.0,0,200.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,838.6,8.0,256.0,7.3,184.0,,,1,1,1,1,5.4,1.0,Android,1.0
90,77.0,6.7,OLED,FHD+,60.0,4674.0,1,30.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,3.0,1572700.0,8.0,128.0,7.8,199.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
91,83.0,6.3,OLED,FHD+,120.0,3692.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2542200.0,8.0,512.0,7.95,177.0,Cam,,1,1,1,1,6.0,1.0,iOS,1.0
92,55.0,6.67,Super AMOLED,FHD+,120.0,5000.0,1,33.0,0,50.0,0.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,646.6,8.0,256.0,9.0,197.0,Plastik,,1,1,1,1,5.3,0.0,Android,1.0
93,59.0,6.67,AMOLED,FHD+,120.0,5000.0,1,67.0,0,200.0,1.0,1080p (Full HD),60.0,16.0,8.0,6.0,430.2,8.0,256.0,7.98,188.0,Cam,,1,1,1,1,5.2,1.0,Android,1.0
94,75.0,6.67,AMOLED,FHD+,144.0,5000.0,1,67.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,32.0,8.0,4.0,1359000.0,12.0,256.0,7.8,195.0,Plastik (Cam Görünümlü),,1,1,1,1,5.4,1.0,Android,1.0
95,48.0,6.7,Super AMOLED,FHD+,90.0,5000.0,1,25.0,0,50.0,0.0,1080p (Full HD),30.0,13.0,8.0,6.0,387.4,4.0,128.0,7.9,200.0,Plastik (Cam Görünümlü),,1,1,1,1,5.3,1.0,Android,1.0
96,70.0,6.57,AMOLED,FHD+,120.0,7000.0,1,80.0,0,50.0,1.0,2160p (Ultra HD) 4K,30.0,50.0,8.0,4.0,,12.0,256.0,8.27,202.0,,,1,1,1,1,5.1,1.0,Android,1.0
97,49.0,6.72,IPS LCD,FHD+,90.0,5000.0,1,33.0,0,108.0,0.0,1080p (Full HD),30.0,8.0,8.0,6.0,314.8,8.0,256.0,7.59,185.0,Plastik (Cam Görünümlü),,1,1,1,1,5.0,1.0,Android,1.0
98,96.0,6.85,AMOLED,FHD+,144.0,7200.0,1,80.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2941800.0,16.0,1.0,8.6,227.0,Cam,,1,1,1,1,6.0,1.0,Android,1.0
99,71.0,6.67,AMOLED,FHD+,120.0,5000.0,1,90.0,0,50.0,1.0,2160p (Ultra HD) 4K,60.0,20.0,8.0,4.0,1510100.0,12.0,512.0,7.8,179.0,Plastik (Cam Görünümlü),,1,1,1,1,5.4,1.0,Android,1.0
100,90.0,6.83,AMOLED,FHD+,144.0,5500.0,1,90.0,1,50.0,1.0,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2393700.0,12.0,1.0,7.96,210.0,Fiberglass,,1,1,1,1,6.0,1.0,Android,1.0
101,90.0,6.3,OLED,FHD+,120.0,3988.0,1,40.0,1,48.0,1.0,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2430600.0,12.0,512.0,8.75,204.0,Cam,,1,1,1,1,6.0,1.0,iOS,1.0
102,67.0,6.79,AMOLED,FHD+,120.0,7500.0,1,66.0,0,108.0,1.0,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,754.2,8.0,512.0,7.76,189.0,Plastik (Cam Görünümlü),,1,1,1,1,5.2,1.0,Android,1.0
103,50.0,6.1,IPS LCD,HD+,60.0,3110.0,1,20.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,7.0,950.7,4.0,64.0,8.3,194.0,Cam,,1,1,1,1,5.0,1.0,iOS,1.0
104,83.0,6.59,AMOLED,FHD+,120.0,6210.0,1,100.0,0,50.0,1.0,4320p (Ultra HD) 8K,30.0,20.0,8.0,3.0,,12.0,256.0,8.0,199.0,,,1,1,1,1,5.4,1.0,Android,1.0
105,66.0,6.1,OLED,FHD+,60.0,3279.0,1,20.0,1,12.0,1.0,2160p (Ultra HD) 4K,60.0,12.0,6.0,5.0,1381900.0,6.0,128.0,7.8,172.0,Cam,,1,1,1,1,5.3,1.0,iOS,1.0
